"model","term","estimate"
"null","(Intercept)",0.388676041972556
"ibd","(Intercept)",0.388676041972556
"ibd","geo",0.0733032194717951
"ibe_cti","(Intercept)",0.402725418008436
"ibe_cti","cti_diff",-0.0121319768410052
"ibe_hli","(Intercept)",0.401402488521843
"ibe_hli","hli_diff",-0.0119797989306143
"ibe_both","(Intercept)",0.41860752794391
"ibe_both","cti_diff",-0.0134919797453648
"ibe_both","hli_diff",-0.0134677784982714
"ibd_ibe","(Intercept)",0.399096674864293
"ibd_ibe","geo",0.0725851068987139
"ibd_ibe","cti_diff",-0.00311719802521242
"ibd_ibe","hli_diff",-0.00641119573622447
"ibd_envdist","(Intercept)",0.398006270467802
"ibd_envdist","geo",0.0724663057039316
"ibd_envdist","env_dist",-0.00523152551387559
